CommitId;RefactoringType;RefactoringDetail
5030b36c86cfa2d076bb6b86fa8fcb37ce58557f;Move Source Folder;Move Source Folder	MPChartExample/src to MPChartExample/src/main/java
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	mult : float to multi : float in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.AnotherBarActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<BarEntry> to values : ArrayList<BarEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.AnotherBarActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.AnotherBarActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.AnotherBarActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BarChart to chart : BarChart in class com.xxmassdeveloper.mpchartexample.AnotherBarActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<BarEntry> to values : ArrayList<BarEntry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.BarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.BarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BarChart to chart : BarChart in class com.xxmassdeveloper.mpchartexample.BarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mOnValueSelectedRectF : RectF to onValueSelectedRectF : RectF in class com.xxmassdeveloper.mpchartexample.BarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<BarEntry> to values1 : ArrayList<BarEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals2 : ArrayList<BarEntry> to values2 : ArrayList<BarEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals3 : ArrayList<BarEntry> to values3 : ArrayList<BarEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals4 : ArrayList<BarEntry> to values4 : ArrayList<BarEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BarChart to chart : BarChart in class com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSinusData : List<BarEntry> to data : List<BarEntry> in class com.xxmassdeveloper.mpchartexample.BarChartActivitySinus
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.BarChartActivitySinus
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BarChart to chart : BarChart in class com.xxmassdeveloper.mpchartexample.BarChartActivitySinus
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BarChart to chart : BarChart in class com.xxmassdeveloper.mpchartexample.BarChartPositiveNegative
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<BubbleEntry> to values1 : ArrayList<BubbleEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals2 : ArrayList<BubbleEntry> to values2 : ArrayList<BubbleEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals3 : ArrayList<BubbleEntry> to values3 : ArrayList<BubbleEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : BubbleChart to chart : BubbleChart in class com.xxmassdeveloper.mpchartexample.BubbleChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<CandleEntry> to values : ArrayList<CandleEntry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.CandleStickChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : CandleStickChart to chart : CandleStickChart in class com.xxmassdeveloper.mpchartexample.CandleStickChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : CombinedChart to chart : CombinedChart in class com.xxmassdeveloper.mpchartexample.CombinedChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	itemcount : int to count : int in class com.xxmassdeveloper.mpchartexample.CombinedChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals : ArrayList<Entry> to values : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.CubicLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.CubicLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.CubicLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.CubicLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals : ArrayList<Entry> to values : ArrayList<Entry> in method private initWithDummyData() : void in class com.xxmassdeveloper.mpchartexample.DrawChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.DrawChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yValue : float to value : float in method private addEntry() : void in class com.xxmassdeveloper.mpchartexample.DynamicalAddingActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Extract Variable;Extract Variable	amount : int in method private addDataSet() : void from class com.xxmassdeveloper.mpchartexample.DynamicalAddingActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals : ArrayList<Entry> to values : ArrayList<Entry> in method private addDataSet() : void in class com.xxmassdeveloper.mpchartexample.DynamicalAddingActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.DynamicalAddingActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<Entry> to values1 : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.FilledLineActivity
