CommitId;RefactoringType;RefactoringDetail
6fd2442814cd268803cfe5b9c920460250f825ca;Change Variable Type;Change Variable Type	methodHandleBuilder : ImmutableMap.Builder<Method,MethodHandleWrapper> to methodHandleBuilder : ImmutableMap.Builder<Method,MethodHandle> in method package FactoryProvider2(factoryKey Key<F>, collector BindingCollector) in class com.google.inject.assistedinject.FactoryProvider2
5058704d372b3a5bd68c2a8c80ad870a9e282c62;Change Attribute Type;Change Attribute Type	methodHandleByMethod : ImmutableMap<Method,MethodHandleWrapper> to methodHandleByMethod : ImmutableMap<Method,MethodHandle> in class com.google.inject.assistedinject.FactoryProvider2
5058704d372b3a5bd68c2a8c80ad870a9e282c62;Change Variable Type;Change Variable Type	methodHandleBuilder : ImmutableMap.Builder<Method,MethodHandleWrapper> to methodHandleBuilder : ImmutableMap.Builder<Method,MethodHandle> in method package FactoryProvider2(factoryKey Key<F>, collector BindingCollector) in class com.google.inject.assistedinject.FactoryProvider2
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<T>> in method package javaOptionalOf(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<javax.inject.Provider<T>>> in method package javaOptionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<javax.inject.Provider<T>>> in class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<Provider<T>>> in method package javaOptionalOfProvider(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<Provider<T>>> in class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Inline Method;Inline Method	private bindJava8Optional(binder Binder) : void inlined to public configure(binder Binder) : void in class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Variable Type;Change Variable Type	typeLiteral : TypeLiteral<?> to typeLiteral : TypeLiteral<T> in method public configure(binder Binder) : void in class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Extract Variable;Extract Variable	typeLiteral : TypeLiteral<T> in method public configure(binder Binder) : void from class com.google.inject.internal.RealOptionalBinder
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	optionalKey : Key<?> to optionalKey : Key<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
